Unnamed: 0,Code.1,Code.2,Year,County,State,Unrate,State FIPS Code,County FIPS Code,State_y,County_y,"Poverty Estimate, All Ages","Poverty Percent, All Ages",Median Household Income,Total law enforcement employees,Total officers,Total civilians,SUMLEV,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,H_MALE,H_FEMALE,Violent crime,Murder and nonnegligent manslaughter,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,id,25_collegedegree_higher
49,41,27,2011,Hood River County,OR,8,41,27,OR,Hood River,3253,14.7,48516,33,16,17,50,22439,11239,11200,10612,10545,75,57,129,112,154,166,27,25,242,295,3574,3136,10,1,3,2,4,153,28,115,10,1,2011-OR-Hood River,26.5
50,41,29,2011,Jackson County,OR,11.8,41,29,OR,Jackson,39829,19.7,40013,173,117,56,50,204798,99774,105024,92709,97874,1008,542,1562,1491,1040,1592,339,341,3116,3184,11861,10969,141,2,21,2,116,1127,281,797,49,5,2011-OR-Jackson,23.7
51,41,31,2011,Jefferson County,OR,12.9,41,31,OR,Jefferson,4319,20.7,40910,42,13,29,50,21752,11281,10471,8681,8028,139,62,2067,1947,66,76,23,20,305,338,2205,2032,8,0,1,2,5,184,61,108,15,2,2011-OR-Jefferson,16.5
52,41,33,2011,Josephine County,OR,12.8,41,33,OR,Josephine,17021,20.8,36269,98,35,63,50,82722,40341,42381,37870,39844,216,159,638,589,296,455,86,78,1235,1256,2718,2669,64,2,11,10,41,726,237,419,70,3,2011-OR-Josephine,16.8
53,41,35,2011,Klamath County,OR,12.1,41,35,OR,Klamath,15023,23,36765,61,25,36,50,66322,33007,33315,29668,29921,275,212,1492,1512,299,371,58,48,1215,1251,3765,3453,54,0,9,9,36,451,259,140,52,5,2011-OR-Klamath,19.4
54,41,37,2011,Lake County,OR,13.3,41,37,OR,Lake,1538,20.6,35517,20,7,13,50,7908,4182,3726,3878,3472,34,5,103,68,33,46,3,6,131,129,271,290,,,,,,,,,,,2011-OR-Lake,17.7
55,41,39,2011,Lane County,OR,9.8,41,39,OR,Lane,73046,21.1,40689,345,65,280,50,354119,174237,179882,158050,163210,2156,1453,2465,2367,4142,5292,479,388,6945,7172,13779,13226,241,2,20,17,202,1146,484,545,117,8,2011-OR-Lane,27.8
56,41,41,2011,Lincoln County,OR,10.5,41,41,OR,Lincoln,7383,16.3,40507,87,27,60,50,45877,22242,23635,20133,21422,167,102,883,906,216,345,34,45,809,815,1996,1777,52,0,10,0,42,344,133,200,11,3,2011-OR-Lincoln,24.4
57,41,43,2011,Linn County,OR,11.5,41,43,OR,Linn,22379,19.2,42836,177,75,102,50,118175,58408,59767,54788,56045,420,311,879,898,517,703,94,93,1710,1717,4965,4481,19,0,7,4,8,935,246,582,107,4,2011-OR-Linn,16.7
58,41,45,2011,Malheur County,OR,9.5,41,45,OR,Malheur,6794,24.5,36039,60,25,35,50,30964,16798,14166,15454,13239,343,97,335,232,294,264,28,28,344,306,5392,4560,2,0,0,0,2,203,63,129,11,,2011-OR-Malheur,14.2
