Unnamed: 0,Code.1,Code.2,Year,County,State,Unrate,State FIPS Code,County FIPS Code,State_y,County_y,"Poverty Estimate, All Ages","Poverty Percent, All Ages",Median Household Income,Total law enforcement employees,Total officers,Total civilians,SUMLEV,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,H_MALE,H_FEMALE,Violent crime,Murder and nonnegligent manslaughter,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,id,25_collegedegree_higher
51,53,25,2011,Grant County,WA,9.1,53,25,WA,Grant,18233,20.3,43149,61,47,14,50,90588,46003,44585,42797,41541,851,664,862,844,444,505,74,55,975,976,18424,16837,111,3,7,10,91,1472,484,868,120,6,2011-WA-Grant,15.2
52,53,27,2011,Grays Harbor County,WA,12.3,53,27,WA,Grays Harbor,14677,21.1,40886,77,39,38,50,72374,37169,35205,32602,31398,689,194,2046,1719,483,576,130,73,1219,1245,3576,2902,24,2,3,2,17,434,158,240,36,2,2011-WA-Grays Harbor,14.2
53,53,29,2011,Island County,WA,8.1,53,29,WA,Island,7816,10.1,58179,57,33,24,50,78970,39126,39844,34378,34507,1128,749,353,369,1379,2268,204,209,1684,1742,2289,2334,43,1,13,3,26,773,331,426,16,5,2011-WA-Island,30.4
54,53,31,2011,Jefferson County,WA,9.4,53,31,WA,Jefferson,3997,13.6,47045,44,23,21,50,29858,14788,15070,13528,13804,214,86,350,374,177,304,40,27,479,475,450,418,22,0,12,1,9,360,109,236,15,1,2011-WA-Jefferson,36.1
55,53,33,2011,King County,WA,7.5,53,33,WA,King,234867,12.1,68596,343,241,102,50,1974499,982634,991865,709408,704969,65912,62739,10586,10147,143632,159091,7777,7880,45319,47039,93425,84358,430,5,85,127,213,5573,2200,2749,624,82,2011-WA-King,45.7
56,53,35,2011,Kitsap County,WA,7.5,53,35,WA,Kitsap,26853,11,60294,145,115,30,50,254351,129254,125097,108966,104230,4471,2852,2281,2204,5400,7653,1227,1232,6909,6926,8968,7998,441,2,64,52,323,4000,1312,2387,301,13,2011-WA-Kitsap,28.7
57,53,37,2011,Kittitas County,WA,8.3,53,37,WA,Kittitas,9978,25.5,41823,65,34,31,50,41561,20963,20598,19405,19009,247,196,224,235,425,516,36,48,626,594,1685,1617,20,1,5,2,12,448,158,266,24,1,2011-WA-Kittitas,32.5
58,53,39,2011,Klickitat County,WA,10.6,53,39,WA,Klickitat,3256,15.9,43340,48,19,29,50,20691,10425,10266,9738,9529,53,35,286,293,49,110,22,12,277,287,1204,1118,,,,,,,,,,,2011-WA-Klickitat,18.5
59,53,41,2011,Lewis County,WA,11.5,53,41,WA,Lewis,11176,14.9,42072,56,39,17,50,75674,37819,37855,35278,35422,310,166,691,672,295,455,98,63,1147,1077,3613,3142,58,0,7,1,50,631,237,351,43,2,2011-WA-Lewis,15
60,53,43,2011,Lincoln County,WA,7.3,53,43,WA,Lincoln,1296,12.5,47602,23,12,11,50,10527,5263,5264,5026,5007,13,15,96,87,16,32,1,4,111,119,128,130,8,0,1,1,6,135,43,85,7,2,2011-WA-Lincoln,19.2
61,53,45,2011,Mason County,WA,10.6,53,45,WA,Mason,8627,14.8,44331,62,47,15,50,60882,31478,29404,27989,26252,548,210,1423,1193,265,489,130,132,1123,1128,2869,2131,101,0,17,5,79,1734,665,900,169,4,2011-WA-Mason,18.1
62,53,47,2011,Okanogan County,WA,9.2,53,47,WA,Okanogan,8843,21.7,38680,34,29,5,50,41325,20916,20409,17478,16966,115,101,2549,2509,124,203,49,37,601,593,4097,3446,55,2,4,4,45,308,103,181,24,0,2011-WA-Okanogan,18.3
63,53,49,2011,Pacific County,WA,12.1,53,49,WA,Pacific,3749,18.2,37632,45,18,27,50,20888,10502,10386,9521,9478,80,68,276,280,222,221,10,15,393,324,952,778,13,1,6,1,5,333,163,154,16,1,2011-WA-Pacific,16.6
64,53,51,2011,Pend Oreille County,WA,12.7,53,51,WA,Pend Oreille,2536,19.8,37457,19,16,3,50,12956,6571,6385,6062,5876,41,23,259,241,26,54,7,10,176,181,209,210,17,0,1,0,16,411,133,252,26,0,2011-WA-Pend Oreille,17.6
65,53,53,2011,Pierce County,WA,9.1,53,53,WA,Pierce,99907,12.7,55215,361,300,61,50,807728,400877,406851,310361,312598,30833,26793,6682,6645,21523,28646,5574,5715,25904,26454,39334,37008,919,10,88,218,603,9585,3132,5341,1112,48,2011-WA-Pierce,23.6
66,53,55,2011,San Juan County,WA,6.5,53,55,WA,San Juan,1861,11.9,52371,35,20,15,50,15807,7668,8139,7289,7722,54,41,65,67,64,133,6,12,190,164,470,439,19,1,1,0,17,177,51,112,14,4,2011-WA-San Juan,44.9
67,53,57,2011,Skagit County,WA,9.5,53,57,WA,Skagit,17481,15,52013,92,48,44,50,117578,58222,59356,53315,54325,576,395,1544,1590,1016,1276,180,139,1591,1631,10265,9875,,,,,,,,,,,2011-WA-Skagit,23.7
68,53,59,2011,Skamania County,WA,11,53,59,WA,Skamania,1646,14.9,51548,26,22,4,50,11156,5634,5522,5328,5165,30,19,82,114,40,65,2,9,152,150,318,271,10,0,2,0,8,214,52,151,11,0,2011-WA-Skamania,22.4
69,53,61,2011,Snohomish County,WA,9,53,61,WA,Snohomish,78538,11,63766,331,263,68,50,722149,361393,360756,295303,293385,11498,8560,5564,5726,31759,36023,1927,1649,15342,15413,34550,31383,,,,,,,,,,,2011-WA-Snohomish,28.4
70,53,63,2011,Spokane County,WA,8.7,53,63,WA,Spokane,69943,15.2,48693,179,124,55,50,473516,234034,239482,210966,216553,5109,3340,3883,4094,4633,5902,987,1046,8456,8547,11413,10879,132,3,16,30,83,3912,1189,2439,284,16,2011-WA-Spokane,28.6
71,53,65,2011,Stevens County,WA,11.1,53,65,WA,Stevens,8738,20.3,41166,31,26,5,50,43457,21743,21714,19593,19546,91,75,1268,1187,75,178,35,44,681,684,599,654,26,2,5,2,17,575,226,294,55,0,2011-WA-Stevens,19.2
72,53,67,2011,Thurston County,WA,8.1,53,67,WA,Thurston,32189,12.8,59694,102,82,20,50,256439,125189,131250,105617,110303,4240,3301,2032,2074,5973,7975,1127,1059,6200,6538,9733,9343,294,3,32,24,235,2726,1086,1502,138,18,2011-WA-Thurston,32.5
73,53,69,2011,Wahkiakum County,WA,12.9,53,69,WA,Wahkiakum,562,14.3,41286,16,7,9,50,3992,2006,1986,1905,1857,7,5,33,26,9,23,6,3,46,72,56,71,6,0,0,0,6,12,3,9,0,1,2011-WA-Wahkiakum,14.8
74,53,71,2011,Walla Walla County,WA,7.2,53,71,WA,Walla Walla,9529,17.3,47570,30,25,5,50,59452,30158,29294,27622,27349,929,267,435,361,370,530,103,86,699,701,6215,5781,25,0,8,2,15,365,90,251,24,3,2011-WA-Walla Walla,24.2
75,53,73,2011,Whatcom County,WA,8.1,53,73,WA,Whatcom,30944,15.6,51315,104,85,19,50,203503,100722,102781,88714,90656,1346,894,3295,3115,3563,4272,302,283,3502,3561,8532,8088,132,0,38,7,87,1339,485,789,65,12,2011-WA-Whatcom,31.8
76,53,75,2011,Whitman County,WA,5.8,53,75,WA,Whitman,12483,31.8,35860,22,18,4,50,45067,22963,22104,19628,18902,480,366,174,161,1855,1750,71,61,755,864,1084,1095,8,0,0,0,8,58,28,28,2,0,2011-WA-Whitman,48.1
77,53,77,2011,Yakima County,WA,9.7,53,77,WA,Yakima,55803,23,41666,88,56,32,50,245899,123004,122895,108810,108881,1874,1504,7321,7172,1503,1786,263,237,3233,3315,57968,54819,133,7,27,25,74,2290,999,995,296,31,2011-WA-Yakima,16
78,53,1,2012,Adams County,WA,8.3,53,1,WA,Adams,3359,17.9,43939,28,17,11,50,18936,9647,9289,8787,8486,135,99,468,454,107,129,9,4,141,117,5927,5569,19,0,7,2,10,261,84,147,30,2,2012-WA-Adams,12.3
79,53,3,2012,Asotin County,WA,7.1,53,3,WA,Asotin,3159,14.6,42364,13,11,2,50,21935,10604,11331,10078,10732,59,49,152,190,62,108,15,20,238,232,364,370,27,0,4,1,22,208,52,141,15,0,2012-WA-Asotin,16.3
80,53,5,2012,Benton County,WA,8.5,53,5,WA,Benton,23478,13,58361,70,58,12,50,182400,91333,91067,83406,83206,1611,1230,1082,1051,2601,2932,186,165,2447,2483,17797,17006,67,0,8,5,54,527,159,332,36,4,2012-WA-Benton,28.6
81,53,7,2012,Chelan County,WA,7.3,53,7,WA,Chelan,10810,14.9,45730,69,56,13,50,73471,36613,36858,34477,34713,260,239,675,632,326,431,97,70,778,773,10254,9355,37,1,6,6,24,620,194,397,29,0,2012-WA-Chelan,24.1
82,53,9,2012,Clallam County,WA,9.6,53,9,WA,Clallam,9906,14.1,43482,42,34,8,50,71791,35616,36175,31310,32002,526,181,2025,1952,396,667,66,55,1293,1318,2152,1831,72,4,9,11,48,880,302,543,35,2,2012-WA-Clallam,24.6
83,53,11,2012,Clark County,WA,8.6,53,11,WA,Clark,51981,12,56087,206,130,76,50,436532,215344,221188,189531,194432,4912,4156,2336,2239,8760,10284,1708,1659,8097,8418,17877,17357,283,2,46,51,184,3987,1155,2297,535,31,2012-WA-Clark,26
84,53,13,2012,Columbia County,WA,7.6,53,13,WA,Columbia,579,14.7,41834,8,7,1,50,3977,1987,1990,1878,1875,15,5,30,34,13,20,7,8,44,48,115,124,7,1,2,0,4,165,47,116,2,0,2012-WA-Columbia,18.7
85,53,15,2012,Cowlitz County,WA,9.8,53,15,WA,Cowlitz,16955,16.9,47714,50,40,10,50,101669,50304,51365,46333,47347,507,335,1037,983,681,941,149,129,1597,1630,4321,3907,84,3,35,1,45,537,186,309,42,8,2012-WA-Cowlitz,15.4
